ts	phase	decision	why	evidence	result
2026-09-06T20:57:20Z	frame	docs-only origin/main 422d8cb is the base; old web app at /home/gannonh/dev/agentis is archive/v1	KAT-3242 is the first Build slice of the rebuild	origin/main 422d8cb	worktree created
2026-09-06T20:57:20Z	frame	done predicate is the 10 Linear ACs plus draft PR and no Agent Review hop	falsifiable against commands SHA receipts	.audit/how.md	open
2026-09-06T20:57:20Z	harness	claude fable and opus external lanes dropped out unauthenticated	do not silently substitute those receipts	/tmp/kat-3242-architect/claude-fable/receipt.json	dropout
2026-09-06T20:57:20Z	design	chose command kernel plus node:sqlite and one @agentis-labs/cli package	ADR forbids event sourcing; sqlite-node 0.52.0 peers miss sql 0.52.1; Node 24 has node:sqlite	.audit/design.md	parent synthesis pending grafts
2026-09-06T20:57:20Z	env	Node 24.20.0 via mise; Codex 0.153.4; Docker socket permission denied; pnpm 9.15.9	record exact versions; mark macOS isolation UNVERIFIED	node -v / docker info	open
2026-09-06T21:04:06Z	unit	workspace plus command kernel plus fake HTTP path pass typecheck lint unit	prove the slice before packaged smoke and live Codex	pnpm typecheck lint test build	tests green
2026-09-06T21:11:34Z	unit-codex	wired Codex allow/deny/input/cancel after commit and exposed artifacts on status	deny and cancel must talk to the live child, not finishAllowedFake	packages/cli/src/codex.ts packages/cli/src/engine.ts packages/cli/src/store.ts	tests pending
2026-09-06T21:11:34Z	unit-codex	added JSON-RPC stub for Codex protocol cases	CI cannot use ChatGPT login; encode the protocol in a fixture	packages/cli/test/codex-stub.mjs packages/cli/test/codex.test.ts	11 tests green
2026-09-06T21:11:40Z	unit-codex	Codex stub allow/deny/input/cancel and smoke artifact tests pass	deny finder must use the approval id, not the launch row	packages/cli/test/codex.test.ts	11 tests green
2026-09-06T21:13:51Z	live	live Codex smoke returned KAT3242_OK with artifact ids	AC6 needs a real ChatGPT turn, not the stub	scripts/live-codex-smoke.mjs artifact sha256 572f9bc5189058cad4eb553bdf406f7e53679bb07bb8c6071771009d7ed7e891	PASS
2026-09-06T21:13:51Z	live	live Codex allow deny input and cancel all completed	AC7 requires real protocol when the provider exposes it	scripts/live-codex-cases.mjs	PASS
2026-09-06T21:13:51Z	pack	packaged verify launch plus fake submit succeeded	AC9 must use an installed tarball, not the workspace bin	pnpm pack:smoke endpoint 127.0.0.1:42403	PASS
2026-09-06T21:15:30Z	review	widened bot-command tests and fail-closed Docker assertion	trail review said AC5 and container fail-closed were under-proven	packages/cli/test/store.test.ts packages/cli/test/boundary.test.ts	14 tests green
